team,ID
Team Liquid,2163
Team Secret,1838315
PSG.LGD,15
Vici Gaming,726228
VGJ Storm,5228654
,5026801
Virtus.pro,1883502
Team NP,3214108
Fnatic,350190
OG,2586976
(monkey) Business,2519319
Evil Geniuses,39
BigGooooood,2101260
TNC Predator,2108395
LV-Gaming,1848158
Titan,999689
Winstrike,5229127
w33ha earthspirit,4251435
Alliance,111474
TeamMalaysia,1910985
Team Aster,6209166
 Thunder Awaken ///,3922738
TEAMERINO TINKERINO,1820360
Radical Online X-tremists,293390
Speed Gaming International,1047281
EHOME,4
$5JuNGz$,2526472
VGJ Thunder,5027210
Faceless,3326875
Forward Gaming,6214538
Signify,5138280
KEEN GAMING,2626685
Team VG.J,3326126
Newbee,1375614
Natus Vincere,36
Team Onyx,3722973
Orange.Neolution Esports,416900
Ninjas in Pyjamas,6214973
Team. Spirit,2621843
,2635099
,2777247
,2790766
paiN Gaming,67
4 Friends + Chrillee,41
Mineski,543897
Rock.Young,4288603
LUCCINI GAM1NG,1025734
NAM VEZET-MI IGRAEM,1803996
AftershockGaming Int.,1556884
Lajons,2006291
